name
DFT exchange: sharing perspectives on the workhorse of quantum chemistry and materials science. 
Physical chemistry chemical physics : PCCP, Issue: None, Volume: None 21, Oct, 2022
pyMolDyn: Identification, structure, and properties of cavities/vacancies in condensed matter and molecules. 
Journal of computational chemistry, Issue: 6, Volume: 38 05, 03, 2017
From local structure to nanosecond recrystallization dynamics in AgInSbTe phase-change materials. 
Nature materials, Issue: 2, Volume: 10 Feb, 2011
The external validity of published randomized controlled trials in primary care. 
BMC family practice, Issue: None, Volume: 10 19, Jan, 2009
Fulvestrant plus capivasertib versus placebo after relapse or progression on an aromatase inhibitor in metastatic, oestrogen receptor-positive, HER2-negative breast cancer (FAKTION): overall survival, updated progression-free survival, and expanded biomarker analysis from a randomised, phase 2 trial. 
The Lancet. Oncology, Issue: None, Volume: None 01, Jun, 2022
A Phenomic Perspective on Factors Influencing Breast Cancer Treatment: Integrating Aging and Lifestyle in Blood and Tissue Biomarker Profiling. 
Frontiers in immunology, Issue: None, Volume: 11 2020
Fulvestrant plus capivasertib for metastatic breast cancer - Authors' reply. 
The Lancet. Oncology, Issue: 5, Volume: 21 05, 2020
Fulvestrant plus capivasertib versus placebo after relapse or progression on an aromatase inhibitor in metastatic, oestrogen receptor-positive breast cancer (FAKTION): a multicentre, randomised, controlled, phase 2 trial. 
The Lancet. Oncology, Issue: 3, Volume: 21 03, 2020
Tisotumab vedotin in patients with advanced or metastatic solid tumours (InnovaTV 201): a first-in-human, multicentre, phase 1-2 trial. 
The Lancet. Oncology, Issue: 3, Volume: 20 03, 2019
ODM-204, a Novel Dual Inhibitor of CYP17A1 and Androgen Receptor: Early Results from Phase I Dose Escalation in Men with Castration-resistant Prostate Cancer. 
European urology focus, Issue: 1, Volume: 6 15, 01, 2020
Relationships between Nutrient Heterogeneity, Root Growth, and Hormones: Evidence for Interspecific Variation. 
Plants (Basel, Switzerland), Issue: 1, Volume: 7 28, Feb, 2018
The variable position of the inferior alveolar nerve (IAN) in the mandibular ramus: a computed tomography (CT) study. 
Surgical and radiologic anatomy : SRA, Issue: 6, Volume: 40 Jun, 2018
Regional left ventricular function does not predict survival in ischaemic cardiomyopathy after cardiac surgery. 
Heart (British Cardiac Society), Issue: 17, Volume: 103 09, 2017
Coronary-Artery Bypass Surgery in Patients with Ischemic Cardiomyopathy. 
The New England journal of medicine, Issue: 16, Volume: 374 21, Apr, 2016
Influence of Baseline Characteristics, Operative Conduct, and Postoperative Course on 30-Day Outcomes of Coronary Artery Bypass Grafting Among Patients With Left Ventricular Dysfunction: Results From the Surgical Treatment for Ischemic Heart Failure (STICH) Trial. 
Circulation, Issue: 8, Volume: 132 25, Aug, 2015
Impact of surgical ventricular reconstruction on sphericity index in patients with ischaemic cardiomyopathy: follow-up from the STICH trial. 
European journal of heart failure, Issue: 4, Volume: 17 Apr, 2015
The STICH trial (Surgical Treatment for Ischemic Heart Failure): mode-of-death results. 
JACC. Heart failure, Issue: 5, Volume: 1 Oct, 2013
Myocardial viability and impact of surgical ventricular reconstruction on outcomes of patients with severe left ventricular dysfunction undergoing coronary artery bypass surgery: results of the Surgical Treatment for Ischemic Heart Failure trial. 
The Journal of thoracic and cardiovascular surgery, Issue: 6, Volume: 148 Dec, 2014
Extent of coronary and myocardial disease and benefit from surgical revascularization in ischemic LV dysfunction [Corrected]. 
Journal of the American College of Cardiology, Issue: 6, Volume: 64 12, Aug, 2014
Inducible myocardial ischemia and outcomes in patients with coronary artery disease and left ventricular dysfunction. 
Journal of the American College of Cardiology, Issue: 18, Volume: 61 07, May, 2013
Influence of crossover on mortality in a randomized study of revascularization in patients with systolic heart failure and coronary artery disease. 
Circulation. Heart failure, Issue: 3, Volume: 6 May, 2013
Invited commentary. 
The Annals of thoracic surgery, Issue: 4, Volume: 95 Apr, 2013
Propensity matching is a poor substitute for a poorly composed procedure note. 
Journal of the American College of Cardiology, Issue: 3, Volume: 61 22, Jan, 2013
Leontiasis ossea: a presentation of hyperparathyroidism in an indigenous Australian man secondary to chronic renal failure. 
Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons, Issue: 1, Volume: 71 Jan, 2013
Insights from the STICH trial: change in left ventricular size after coronary artery bypass grafting with and without surgical ventricular reconstruction. 
The Journal of thoracic and cardiovascular surgery, Issue: 5, Volume: 146 Nov, 2013
Influence of mitral regurgitation repair on survival in the surgical treatment for ischemic heart failure trial. 
Circulation, Issue: 21, Volume: 125 29, May, 2012
Long-term survival of patients with ischemic cardiomyopathy treated by coronary artery bypass grafting versus medical therapy. 
The Annals of thoracic surgery, Issue: 2, Volume: 93 Feb, 2012
Compositional stability and diversity of vascular plant communities following logging disturbance in Appalachian forests. 
Ecological applications : a publication of the Ecological Society of America, Issue: 2, Volume: 22 Mar, 2012
Myocardial viability and survival in ischemic left ventricular dysfunction. 
The New England journal of medicine, Issue: 17, Volume: 364 28, Apr, 2011
Coronary-artery bypass surgery in patients with left ventricular dysfunction. 
The New England journal of medicine, Issue: 17, Volume: 364 28, Apr, 2011
Correction of facial asymmetry as a result of unilateral condylar hyperplasia. 
Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons, Issue: 6, Volume: 70 Jun, 2012
Clinical characteristics of patients undergoing surgical ventricular reconstruction by choice and by randomization. 
Journal of the American College of Cardiology, Issue: 6, Volume: 56 03, Aug, 2010
STICH (Surgical Treatment for Ischemic Heart Failure) trial enrollment. 
Journal of the American College of Cardiology, Issue: 6, Volume: 56 03, Aug, 2010
The STICH trial: evidence-based conclusions. 
European journal of heart failure, Issue: 10, Volume: 12 Oct, 2010
Drug-eluting versus bare-metal stents in the treatment of patients with ST-segment elevation myocardial infarction. 
JACC. Cardiovascular interventions, Issue: 2, Volume: 1 Apr, 2008
Outcomes for patients with ST-elevation myocardial infarction in hospitals with and without onsite coronary artery bypass graft surgery: the New York State experience. 
Circulation. Cardiovascular interventions, Issue: 6, Volume: 2 Dec, 2009
Disturbance alters local-regional richness relationships in Appalachian forests. 
Ecology, Issue: 10, Volume: 90 Oct, 2009
