person_uuid,identifier_value,firstname,lastname,publication_list,first_letter,resolved_for,marked
51587,,Nicholas A,Allen,"[12425394, 31911436, 34636262, 29861097, 23725963, 36129444, 31960595, 31579289, 28804218, 33754494, 35140087, 12972856, 32677138, 32580238, 14583117, 33664226, 35667952, 27174305, 29715734, 18404639, 28605717, 20610623, 23248864, 35195636, 32332132, 19965012, 35128550, 34907616, 15273159, 12938806, 21516216, 28459581, 16510428, 12586962, 27918487, 28691169, 26905694, 28691808, 12946925, 32618815]",N,GB0011154,True
114,GB0011260,Susan,Godfrey,[20100734],,GB0011260,True
54932,,S A C,Godfrey,"[2570528, 24187196, 55629, 4700500, 6760801, 11706820, 9456117, 11334135, 9894449, 1176420, 3652488, 4392219, 5438753, 6839622, 1187243, 4206181, 2729632, 5101269, 810767, 338003, 6830267, 3402014, 3516717, 3615041, 893257, 7919973, 3744148, 819668, 362973, 405995, 26991121, 705082, 4834049, 4446978, 3101560, 5684100, 6648867, 5428335, 12708980, 7259275, 5565784, 10624436, 3212751, 7478780, 4206134, 6749758, 108151, 7083772, 8480545, 593761, 3588046, 1931282, 389173, 5193890, 4270245, 22845647, 4219144, 3946921, 637407, 6146595, 8493627, 22950483, 3384078, 4156761, 12531108, 32132535, 4097610, 4695742, 1179330, 4101896, 7305084, 5556097, 3358649, 75715, 1327047, 4765656, 2682864, 8255638, 26300691, 893258, 1393096, 4825633, 8209052, 2751174, 9028308, 4354777, 19120965, 3396433, 768891, 11502647, 5359016, 1187274, 6847952, 8869355, 15326728, 20635198, 9119303, 6436586, 8756971, 3952382, 2271038, 3174276, 3907512, 8810603, 5531774, 11282784, 6457703, 5013877, 5442010, 6351332, 4719105, 20861543, 7314025, 7361141, 4627093, 7359268, 1510257, 9141111, 3924984, 4371672, 1748341, 3343782, 6766152, 3622487, 7466723, 825134, 1937252, 4237353, 811069, 5488722, 5511258, 4636770, 4788460, 19714476, 2763230, 5452279, 1200676, 381514, 3631731, 6474386, 3662586, 9515826, 373646, 3597279, 4201442, 1877036, 4093064, 7117965, 5420208, 842963, 879843, 8793445, 6401416, 671181, 4124282, 5770918, 11568992, 5777252, 4206466, 11526038, 1941455, 5048313, 1958420, 84041, 337993, 25124940, 4878466, 6715728, 5075312, 8214917, 6177268, 4835856, 4870802, 5767882, 1252072, 1415939, 1516404, 8682390, 5135258, 4850678, 4414467, 15641634, 623690, 646421, 7040302, 2030924, 2889046, 5037399, 26574301, 394754, 5035590, 3778132, 4067135, 7376861, 65508, 4171804, 7970922, 10543290, 3395835, 1929491, 2277739, 4817270, 5110177, 5046775, 2722474, 2659034, 1147673, 5772108, 4899664, 3887993, 805807, 5037119, 838861, 2718965, 7075229, 4486762, 11965, 4884174, 3931894, 2064138, 8466238, 4058953, 2899834, 5506939, 3280772, 3944374, 845761, 237526, 4110031, 5193728, 5058568, 7200881, 569469, 3813641, 7194892, 7174416, 5003538, 831770, 6412638, 3565945, 11786725, 309750, 1548815, 10988095, 5034593, 316056, 965316, 15590146, 3382039, 2321186, 3687229, 2546509, 12772216, 9661335, 7179193, 1008587, 2624480, 15860713, 7330797, 6423566, 7892069, 345207, 6530168, 1197198, 4201660, 3624146, 4472108, 3202386, 845154, 12240304, 1187281, 4003328, 3311116, 6889065, 4206219, 3081871, 5795644, 1599294, 17037143, 5556096, 6070153, 11556905, 5511281, 4425932, 20672876, 1096045, 7469460, 6846939, 901680, 8419899, 809561, 1579721, 3758847, 3513105, 836372, 596923, 14273522, 3578877, 6216954, 453911, 28323131, 712019, 5490005, 486797, 12531089, 722434, 8058420, 5576246, 1150548, 7597663, 5770869, 1244963, 5289797, 626527, 14120810, 10973039, 7944074, 821168, 5158846]",S,GB0011260,True
116,GB0011285,Shawna,Doyle,[],,GB0011285,True
49428,,Suzanne L,Doyle,"[34445002, 27294812, 27423204, 24381646, 32404096, 30150990, 35039840, 34604026, 35582770, 30004915, 28796017, 28530906, 22146489, 32940666, 28742713, 27455150, 27807666, 33396253, 23507222, 26583669, 33392438, 29339209, 22051112, 27365528, 27046081, 34046552, 35681687, 28530919, 26491814, 21696633, 32293334, 31171903, 17149529]",S,GB0011285,True
55174,,Sabrina,Doyle,"[27431259, 9494896, 12505639, 9679549, 5915355, 9856493, 10995234, 22353595, 20142378, 9579183, 8006437, 8612710, 3530267, 8695620, 9261320, 3994036, 15602643, 9638931, 21464165, 8664226, 14509376, 31282584, 28575241, 30295721, 21174166, 18700444, 9779821, 34896787, 10640612, 9735424, 1039869, 8838780, 22241325, 7897225, 10068112, 11284679, 7672389, 5199113, 10573353, 22267563, 32651155, 11418353, 9071528, 10546349, 9571557, 10735085, 10407680, 9088968, 26640746, 9892405, 9609819, 11064115, 8033217, 7963653, 7832803, 31651137, 9680354, 8205802, 20051479, 22353594, 11024117, 4081720, 1702033, 35965119, 29030855, 11278950, 1038974, 25262753, 10230901, 10230902, 22371510, 8862918, 28249499, 26639933, 19664476, 9092827, 1507202, 9113559, 11309140, 7733742, 9450033, 8672043, 28665082, 9082256, 3950074, 3323502, 8394535, 8718618, 9779820, 2829063, 3980214, 28859364, 2178317, 7970115, 25554282, 3718640, 11087384, 18419310, 33386140, 29455302, 22810903, 20025695, 27202020, 27202021, 10294008, 3818293, 7070732, 8737832, 31007992, 20837691, 8959294, 8914601, 6694813, 31451410, 9410912, 8170135, 14744451, 10824949, 32660944, 7753461, 21745659, 11874546, 7958886, 27202080, 22296133, 11261555, 21149526, 6199587, 28084584, 21596564, 10947093, 12049135, 9776060, 10292594, 8445368, 10120688, 9924374, 8404842, 9351833, 29197960, 31299920, 6249689, 11264125, 9261321, 15487324, 7951275, 10413002, 8025084, 1193032, 7120220, 30869051, 1668965, 34940998, 3893450, 10090991, 6511401, 12037048, 17845258, 2821247, 20336081, 21274195, 29404864, 7528239, 9469750, 1666919, 11005846, 23072906, 2732224, 28475745, 10887727, 16299723, 3634960, 29869847, 3004207, 3024817, 8579291, 9558444, 8330194, 29195402, 31641125, 10792636, 30883706, 7951276, 18830264, 7525454, 28689517, 8218315, 2553925, 11115070, 22231689, 10681193, 1850270, 9125056, 10824958, 11005374, 9379396, 11681470, 20649947]",S,GB0011285,True
118,GB0011289,Miriam,Slade,[],,GB0011289,True
55217,,Maria,Slade,"[33708145, 17768889, 2533874, 10396165, 10806384, 27526282, 8564313, 10616605, 18851720, 7643412, 12808637, 10912225, 20679280, 1073800, 10910722, 11768850, 23962691, 9626711, 7994497, 4105412, 9184462, 17784090, 25316800, 31094424, 1951600, 1408896, 9777119, 10741742, 17567727, 2099196, 10735890, 7908156, 29035393, 12694460, 7300561, 15859164, 15115883, 19513078, 12392489, 21987439, 5280100, 8800841, 4612798, 11793239, 2077544, 8766455, 23919992, 7853513, 191948, 22003155, 10614421, 1093297, 9092834, 11454574, 55421, 950473, 9470265, 1098195, 5487104, 15966959, 11951001, 30348246, 22789167, 28218756, 10472912, 7118296, 9244171, 8711693, 11488929, 17774502, 16973736, 10047469, 17731715, 10973448, 3400146, 20679282, 9188148, 11361083, 2077545, 6175746, 17478713, 4412715, 9926058, 10784370, 1437302, 15642305, 7579665, 18188837, 35893834, 27454072, 17748898, 27061376, 31046852, 17736982, 7104048, 10356393, 12617416, 35518265, 11157439, 19034279, 22794507, 17594716, 9531976, 31175448, 17748899, 27340113, 12697038, 17745402, 3354133, 7765806, 10504059, 956284, 8730531, 12109837, 5941274, 16445492, 9116065, 10480201, 20679274, 12671707, 20155246, 1649889, 20610489, 11581106, 22322983, 8847199, 11067255, 12036095, 28067881, 11350094, 4395093, 2298094, 13517052, 20693252, 25600424, 8681966, 1368595, 264876, 10162976, 25471821, 7764951, 687083, 832558, 10071278, 22166803, 10954571]",M,GB0011289,True
119,GB0011324,Tracey,Blackmore,[],,GB0011324,True
55262,,Timothy K,Blackmore,"[31945050, 28288838, 20504983, 27694421, 28976498, 34695098, 17063193, 34320620, 35999787, 17589548, 32325472, 28720280, 18840076, 29266192, 26638130, 19061558, 22526013, 16772426, 24894854, 19748232, 31196812, 30808509, 25719855, 34239155, 30777818, 20031050, 15635032, 35728231, 25829033]",T,GB0011324,True
120,GB0011345,David,Stafford,[20843847],,GB0011345,True
55286,,D E J,Stafford,"[35905365, 34793584, 4324635, 11255925, 1569103, 4907415, 827982, 8833911, 24822691, 24822770, 7568495, 6202580, 9354664, 11314682, 1400370, 9051790, 3401602, 6856583, 6322119, 11272143, 3180732, 9507074, 330021, 20296613, 7547964, 5516443, 3252, 3874226, 14206596, 3864258, 1001155, 3790720, 8314856, 35226718, 9259588, 6269629, 2767572, 8473318, 7654178, 19571561, 8952691, 2452445, 9141486, 1907972, 9520461, 11224425, 2752110, 9330300, 15322880, 1851159, 235311, 2473813, 143190, 10706879, 9166845, 3651597, 372814, 3301534, 2294100, 2738560, 31918482, 11559364, 7676406, 9544206, 8530480, 16102054, 9100000, 1641474, 2323576, 19219628, 7148777, 2364661, 11173166, 8078658, 11560488, 11171377, 6190812, 4527857, 7622581, 9883841, 35029469, 35867464, 34797136, 24406068, 4266053, 2568289, 9926781, 7061727, 9930978, 1280278, 10238429, 11127425, 9194317, 19583826, 3464045, 873458, 24112220, 10585212, 10931418, 9446637, 7759116, 8729877, 11472193, 10169886, 9768504, 11570873, 2262767, 11378489, 9748333, 36053704, 34780581, 3473569, 1939653, 8190249, 8747521, 9198223, 398081, 977712, 7918424, 1407999, 1918037, 2258006, 4846741, 4420779, 10358041, 13538645, 2768249, 2473538, 10780293, 35802434, 13320203, 7520347, 10748045, 10905868, 1247541, 235897, 8588203, 26663892, 10910912, 429314, 6253949, 7251439, 11087381, 8423121, 591649, 12871546, 8920967, 2738071, 10934213, 7636325, 35666690, 9001123, 9808156, 16611750, 987581, 7740454, 2421807, 3036231, 11224237, 8987830, 7263446, 2465036, 7869741, 8756687, 4326881, 9115224, 8080989, 1001150, 2254570, 22340, 11816813, 1310619, 341959, 35275660, 4941834, 15102014, 17066096, 5671030, 6858994, 7391781, 8518277, 2374404, 9784071, 5815056, 9845520, 11873243, 10392662, 2006163, 23710884, 3857619, 6175980, 621937, 10393081, 2563663, 5764739, 9301689, 2823876, 11292356, 8855310, 12871548, 8314851, 8182, 7705057, 35867460, 34241504, 17164330, 3899439, 6266930, 5541977, 10569955, 3236089, 8571130, 11106601, 9201971, 14080326, 3852755, 9575152, 2198285, 4057962, 1749935, 7779436, 7204189, 11460006, 28065270, 1935006, 5441186, 6572008]",D,GB0011345,True
125,GB0011367,Janine,Cullen,[],,GB0011367,True
56832,,Jennifer A,Cullen,"[25474093, 15623610, 35292633, 35636850, 31741711, 16382116, 30542053, 28678408, 22608541, 22473492, 25845467, 21397300, 28753864, 21852272, 21074211, 28864836, 15459224, 16192581, 28410987, 19833994, 24929891, 17032894, 32139288, 34003011, 35354846, 14990651, 31530439, 33648504, 31469635, 35721307, 18801539, 22950997, 32945736, 22529743, 25688116, 35490227, 15514412, 30997591, 26976206, 32409115, 33866442, 33847515, 28187695, 35638719, 17682242, 35031163, 33575208, 26723180, 31581661, 35506181, 25200804, 18704716, 34974027, 25279185, 22096650, 24488762, 17886252, 26705101, 20176302, 17568188, 18158066, 15987322, 19064041, 17315162, 35616266, 18245536, 34302010, 25192704, 34433373, 18065961, 28191285, 30050933, 31910880, 21167669, 36200123, 31420248, 31842254, 33493001, 25465337, 31965751, 34587771, 14996868, 21300655, 31798767, 30676475, 17614338, 15173213, 18242382, 17632170, 32341752, 34127801, 28110975, 21852638, 33872049, 34433301, 29117387, 21164094, 16085513, 19117774, 21330582, 28355528, 15850856, 32064040, 14570595, 18375897, 20579698, 21751191, 28976542, 32429558, 21510785, 32525077, 18676740, 32967771, 21872499]",J,GB0011367,True
56878,,Jennifer C,Cullen,"[33473200, 16316281, 17638492, 15826224, 33398198, 32930425]",J,GB0011367,True
56896,,J Michael,Cullen,"[2768960, 6488213, 2752757, 2208030, 34357605, 10076620, 3576343, 30036528, 31699539, 7627389, 6714029, 3269310, 4502489, 1426397, 14193667, 7611417, 1946866, 26993947, 9889063, 3675478, 7435656, 8287743, 10573359, 7485090, 5572265, 1779424, 10561269, 4155133, 2729727, 16131881, 23205739, 7726985, 3868886, 8509689, 18143507, 1108251, 24934703, 3582341, 10721723, 20867734, 7089006, 10107832, 5651477, 1301527, 12389560, 5700848, 1621301, 20200780, 3395020, 10165754, 9813648, 9395934, 3731187, 3878702, 9506646, 11341654, 9834360, 7966625, 14139312, 7905308, 5255256, 30470363, 11157728, 31437051, 6467892, 4759905, 6525355, 11616820, 2163281, 7287381, 6521458, 2396792, 1401539, 30126787, 7615189, 30376723, 11240329, 16892922, 1000445, 5846058, 2913384, 378025, 267462, 7234811, 31528191, 2721090, 2831756, 3610050, 14255592, 7259630, 24270734, 36153270, 18487500, 8509706, 1595965, 27552338, 1055325, 19471002, 6437624, 7818002, 8678207, 670544, 10644459, 3230896, 2034882, 23456964, 8023274, 5676281, 3329353, 744842, 11672979, 4705723, 8945289, 532106, 2219672, 25820857, 8044256, 3432230, 17895209, 1953589, 28098390, 10452883, 491550, 11792441, 5648543, 14123189, 8765623, 5079342, 1483068, 7708997, 3772784, 8282517, 4125210, 1520220, 4338380, 3826460, 3695401, 7205716, 11584392, 4875170, 2294794, 6878295, 15869065, 3048640, 3622161, 3372315, 11720158, 7923176, 8209927, 4622002, 6547126, 2033378, 10192640, 8476469, 5674835, 235362, 3983240, 7096215, 30844901, 31545374, 21670195, 30591288, 5826892, 3807632, 2513328, 7723497, 5827075, 13150744, 9394721, 6761005, 7088906, 26643297, 8842352, 5831837, 13884603, 5074308, 8383954, 2784921, 1339049, 2043585, 15568588, 19984116, 8675146, 2527103, 7167995, 35510596, 3629226, 8666315, 1703941, 1527830, 17186859, 3756132, 1777765, 5366275, 6439612, 17748901, 9176213, 1729797, 13718798, 3102052, 9184676, 5424676, 9070181, 4843110, 317035, 2594450, 4728478, 5535518, 8333142, 1841074, 3082267, 4683814, 10373292, 4647136, 6035682, 5155142, 4577657, 1730940, 5011841, 7055764, 9730547, 6875708, 13163255, 7830412, 30174141, 10472467, 3566676, 11771022, 7515341, 2264277, 8682709, 8248831, 14024192, 14024193, 2424350, 9383636, 5168858, 1158948, 16506681, 27612392, 27427193, 2869540, 10612538, 8056964, 7127272, 13369800, 14365162, 6726131, 32391770, 9364162, 6845123, 4031249, 10867618, 3744774, 2204720, 14189698, 11334846, 34837734, 9544958, 1983866, 8418686, 13813238, 19367443, 9365049, 11495027, 10311295, 10454682, 22337180, 2352799, 7178016, 1574693, 14071691, 9070532, 157870, 7330044, 6412566, 3631389, 9333028, 15657279, 10160448, 14100915, 1939896, 1620513, 2386576, 5491355, 13200080, 14133988, 7928564, 6015920, 3771378, 9735181, 9731101, 3095589, 8965269, 5344501, 9841998, 9035196, 4742690, 11550344, 34557587, 8113836, 9125641, 33341252, 9744220, 17272712, 7524375, 29642797, 606464, 26992990, 9347475, 7840212, 23187950, 2577170, 4707365, 7586906, 7480426, 9135311, 4699417, 9889058, 5113135, 8951251, 6690266, 6874600, 2201093, 33936934, 7226964, 9070182, 2963101, 25233059, 14096060, 6113045, 8333106, 5777286, 5068755, 3168468, 3762468, 7162165, 10475869, 6027626, 3402101, 952709, 9730526, 29010426, 31238697, 17197632, 1125214, 14343147, 8575989, 11201566, 2264120, 4758694, 24296774, 847186, 2383186, 11730361, 14560864, 4959864, 3296890, 7491232, 7167656, 15392666, 106434, 4820980, 8400884, 28544149, 13521033, 5976222, 286899, 1065143, 2019537, 942325, 6836707, 2306561, 14414387, 7574150, 10175140, 4817693, 8172417, 32945173, 3474469, 8516702, 1172640, 2180306, 30598355, 8447242, 8385835, 6964652, 6641150, 5424675, 8115823, 22238836, 8070918, 23381814, 1972346, 1706308, 5110108, 24021556, 1595969, 11557463, 3041881, 9116355, 9018098, 26663669, 5815124, 3787703, 5696448, 8797167, 1956854, 1178813, 3939566, 3730723, 1264974, 10145112, 5340506, 20147584, 23231955, 25783786, 6520306, 3497462, 14224927, 3956298, 2276963, 16477915, 8601371, 5758981, 3883037, 10903598, 9818301, 3768569, 2842920, 11178311, 5079404, 3035682, 10769093, 8139524, 9290609, 5346168, 8196993, 5227423, 1643441, 8180688, 3498990, 7914548, 10937413, 1627230, 11150431, 14189699, 14283980, 1955060, 13718799, 697631, 4646271, 5428670, 9536970, 2201085, 2201086, 1058340, 10606133, 1623633, 1537898, 28891035, 5777349, 8312796, 3508250, 18614568, 5826891, 489831, 13740512, 6035952, 5933563, 2353698, 8530902, 2313178, 10644458, 11119601, 5581880, 3169486, 5455087, 10439984, 4619857, 380543, 20664014, 8953991, 5775576, 35696881, 8007922, 7119139, 2240814, 5661095, 4514216, 13238784, 5431875, 24113774, 7180918, 2495262, 8409915, 2360247, 5882813, 21136388, 5276678, 6534192, 8475708, 6591593, 17798278, 9508025, 2036927, 18830538, 6751518, 10700236, 18634221, 13444617, 9184867, 29669049, 14153414, 20080489, 1259561, 3762293, 6609015, 8202390, 493941, 11598285, 32422385, 7752303, 4098683, 7596726, 2751237, 2661165, 2612026, 10193743, 1088349, 2870233, 5004336, 9526338, 8674392, 5340364, 523584, 13720940, 20946378, 8175128, 8720004, 4734618, 29007592, 4747112, 2670456, 8294097, 28757034, 18858036, 8659124, 28295598, 1769921, 8114664, 1622514, 21037555, 18027036, 7844479, 2216579, 21901956, 7557856, 21123858, 21123864, 2737004, 3888012, 7996372, 31814612, 14193669, 3851287, 2540586, 8598659, 24311127, 5072251, 17384872, 8328643, 1557967, 2201084, 9614864, 13252163, 2750020, 2369099, 11736731, 9717417, 8902329, 26478445, 960407, 2357175, 13469829, 3098785, 3090602, 3983621, 5458193, 3774778, 2279786, 7944666, 4020809, 2738840, 13228830, 2558753, 1018892, 2599962, 7982112, 2264117, 2395200, 1748194, 6622439, 3824873, 29195736, 13340157, 5324304, 2043583, 7982816, 22507378, 8396673, 3944337, 8028057, 10911730]",J,GB0011367,True
56898,,Joseph John,Cullen,"[16409129, 27833040, 36099493, 17040906, 26081808, 20532186, 12649190, 17560413, 22902100, 14972308, 33077776, 15018733, 32041838, 12499913, 22502993, 30573181, 12121694, 17152025, 28825637, 33953841, 18094428, 20400857, 28810149, 22392697, 31453247, 35525024, 30376411, 33923601, 18215740, 28886484, 19580493, 24509158, 29547353, 15662131, 26201606, 15621700, 12697399, 34439467, 12063371, 16003741, 16475022, 23352944, 33351478, 35624835, 26720803, 18766418, 31427282, 31337671, 29396728, 19738419, 12931284, 33260088, 12022997, 21333313, 20068072, 19401447, 36072595, 25251601, 24396727, 12522530, 29140484, 25725418, 34639220, 21802540, 15744674, 15242196, 32265301, 28366679, 22728050, 23764544, 30613346, 18632636, 12219279, 34907706, 24848779, 29956580, 12700280, 29891355, 25857216, 20057381, 31039080, 22966490, 21459141, 28639725, 14500388, 26928133, 30254147, 21636682, 22575400, 14670180, 21502443, 15240547, 21327223]",J,GB0011367,True
139,GB0011553,Timothy,Lane,[33376965],,GB0011553,True
41378,,Thimothy,Lane,[29234260],T,GB0011553,True
57909,,Thirusha,Lane,"[33129740, 24930361, 21728024, 26992170, 27213830, 28745926, 27150194, 29772028, 36105273, 25193959, 33832669, 23421920, 26176329, 27143678, 22331187, 34374069, 31597069, 28686088, 28434320, 29925500, 26120866, 22983575, 34736599, 25997029, 29163488, 31950987, 22679299, 28159995, 29298867, 23479568, 26294730, 29305414, 24337102, 30661419, 23280696, 31124579, 24939945, 28434348, 31109193, 34419399, 30450572, 28968868, 27908298, 28412427, 29284595, 33876651, 29048471, 33181346, 28729034]",T,GB0011553,True
57910,,Tim,Lane,"[31309688, 23815101, 25257257, 23054039, 12896963, 32594750, 24358239, 30408055, 27737625, 34837594, 30671137, 26790588, 16327330, 25328451, 28700474, 26890832, 27001884, 28791915, 17925853, 23181780, 31468645, 31016718, 26878380, 33583966, 29717890, 29717892, 30582349, 29210826, 31402416, 25234252, 25103866, 25510376, 12493315, 22819654, 31867982, 27833463, 18392672, 28444469, 24791150, 14645625, 28850902, 27851715, 17035534, 18559417, 28279587, 16256243, 25714033, 34716876, 16720009, 29708433, 31142222, 29807437, 28025737, 29168662, 19662523, 30263024, 19394121, 29962295, 17125471, 29471726, 28853607, 22792384, 30194198, 16394855, 25869555, 12668716, 29234263, 29188391, 32326725, 21450053, 35474875, 18990165, 27059491, 30087089, 25987189, 34449794, 28764585, 25401785, 29260895, 33533115]",T,GB0011553,True
57915,,Timothy F,Lane,"[15302901, 20087412, 15930264, 20936109, 29500936, 14506230, 20499361, 14699082, 15967164, 25369058, 12163417, 21266412, 18219273, 19468690, 21324922, 17708715, 24327956, 11779215, 19455593, 15673614, 23954891, 19056892, 24586797, 24677652, 12771726, 17072878, 15254397, 20152176, 29158473, 19297414, 26400062, 22955916, 20679727, 17284610, 23690447, 16240122, 15728361, 14688410, 19723499, 12955082]",T,GB0011553,True
57955,,Timothy M,Lane,[15476540],T,GB0011553,True
57962,,Timothy E,Lane,"[10450220, 17332409, 27609585, 11069431, 28203632, 15142179, 10468779, 28525601, 9700821, 26147065, 20920681, 16276089, 23978521, 2368712, 11089491, 25410715, 17612179, 10550955, 18767660, 15331894, 20407700, 16336315, 10414547, 11103163, 28605528, 28355845, 26796968, 14713815, 15008747, 26377514, 15860350, 26207415, 1586693, 12127398, 2744876, 24917775, 33021097, 10759682, 30215774, 27315760, 17437846, 20093044, 28367747, 9813713, 29124889]",T,GB0011553,True
58018,,T Renea,Lane,"[18579595, 21028930, 12050503, 31084686, 6324424, 1900778, 4018594, 8950228, 2269665, 4002309, 3510795, 27353767, 7320330, 2704298, 1864649, 6931450, 8262654, 11015190, 11543653, 22312062, 8168960, 3810822, 3282552, 526005, 3696320, 28915441, 6743825, 10438512, 8722332, 7539008, 6695234, 11278747, 16570854, 1309201, 674356, 572015, 7150430, 6224862, 18541626, 11349263, 6085931, 10644808, 33541475, 175696, 2911867, 8318610, 2596733, 11591787, 33833098, 7622842, 1904840, 8454351, 1438215, 3371648, 2527892, 21803799, 14791984, 10630566, 8607157, 10155703, 9393971, 7235422, 2643867, 8390697, 1484921, 2337122, 20261349, 11774487, 7612967, 11606713, 1338059, 6826703, 14462022, 3415111, 18103380, 2014428, 9309435, 9239807, 2088452, 22658614, 10878616, 9920165, 6487808, 1605430, 2015346, 7528570, 18886799, 6729938, 7590247, 10781068, 12980743, 25027514, 10847389, 10450154, 8701452, 1795715, 6924078, 8509459, 6264995, 18602482, 25135826, 22457169, 6511577, 18869232, 14363716, 7077058, 806097, 21511502, 3178379, 23482550, 454851, 26931528, 1311092, 15393172, 28766692, 7717458, 10080963, 10806251, 6472740, 3388483, 26830251, 12953130, 31672035, 7722781, 10553275, 3368936, 10656061, 7371229, 8100455, 8477289, 3689078, 7510670, 3566253, 24615683, 1391425, 3287970, 6470564, 10939448, 26197134, 7916692, 8166589, 11242747, 7892260, 10022354, 6548997, 32837529, 8421360, 8491100, 11825283, 8245406, 11268267, 11387435, 8565571, 7111718, 4293762, 2798731, 1033520, 3274044, 10782030, 10962568, 1951377, 505539, 677579, 11564831, 6301583, 12740502, 1374138, 2029574, 5429350, 1648795, 2095457, 7268871, 10713629, 1276471, 22391378, 31259387, 1743663, 6282363, 28261541, 1379603, 2784665, 10616220, 9371321, 30265113, 23482534, 23482551, 10154313, 11211236, 3281462, 25580298, 27493182, 27620314, 25113612, 8119487, 9708802, 11781505, 22021635, 10946253, 18228970, 2160580, 7849925, 7571415, 12175422, 22952111, 6809833, 1382639, 6527380, 10627552, 2734821, 9923453, 19028941, 22989936, 11402365, 22289612, 25193822, 14880311, 11890234, 23465530, 8900532, 9551936, 5816710, 16146884, 10146341, 9032354, 10932932, 7664732, 22312065, 3421564, 1750445, 16627340, 2516628, 8021796, 1771600, 3524707, 13584763, 1415623, 8088162, 8944799, 7691440, 13184215, 2362640, 6557109, 12410768, 2244911, 11739482, 14938705, 1536902, 11748277, 7721952, 2311223, 7505068, 2663639, 18871665, 8209780, 2127227, 2835839, 31774200, 10458992, 36276194, 1394992, 10992042, 33852354, 14462021, 28405063, 2305552, 11161122, 3804838, 4071144, 1244918, 29708084, 11251542, 6938784, 13598953, 8102159, 2134614, 15573636, 3388482, 1418416, 27919609, 15050014, 32187677, 2553298, 9364970, 10139237, 7423595, 6567617, 6731714, 18147338, 21780517, 27240535, 8603891, 444666, 2742593, 7514608, 3984010, 11160225, 11594763, 7228526, 3116278, 8105227, 12042042, 10190690, 8863770, 31912491, 7123633, 25723675, 26993907, 2639357, 9025229, 28272524, 12720063, 10393897, 8153772, 11594450, 16264054, 34450353, 18107321, 8747996, 10448195, 32538121, 11361994, 7524201, 13463432, 9449376]",T,GB0011553,True
141,GB0011617,Alastair,Henderson,[25077415],,GB0011617,True
30322,,A. John,Henderson,"[24983943, 30765504, 24299467, 24388013, 23817571, 25653227, 20356852, 14500314, 25335105, 24074336, 21784328, 19589847, 19574234, 18280976, 23724243, 12780966, 12421779, 15356553, 25908364, 29129583, 16055625, 26482879, 25968923, 26542096, 23347656, 34588197, 27346827, 28166213, 17156338, 15321865, 25431337, 23154084, 28940397, 25156716, 30662005, 28679610, 31367216, 28833606, 11861240, 33407823, 29889363, 10999864, 19029234, 27779810, 19213776, 30093569, 32586886, 29131887, 31379025, 26647439, 30579849, 10706516, 27124554, 26061067, 11529291, 11791773, 32142356, 15332400, 21051083, 29636978, 27130862, 30312804, 27106203, 18653626, 25601656, 21360027, 26965294, 28341689, 25721674, 19348924, 26541530, 15649261, 24529685, 16632671, 33214203, 25488690, 31831586, 21953066, 25052576, 24315450, 19286764, 32264874, 29628377, 26548843, 25681202, 20805158, 22265927, 31441980, 12403878, 25577593, 33263047, 30528616, 31791392, 33413476, 23604458, 15052191, 30668648, 23790346, 23806636]",A,GB0011617,True
45164,,Arris,Henderson,[17160391],A,GB0011617,True
54087,,Alastair,Henderson,"[33051065, 30040065, 29653885, 32312543, 18975413, 16831480, 19472482, 15062132, 19475801, 25256228, 23364206, 17095067, 12478416, 17823602, 16925778, 33002429, 19338531, 18455764, 19950461, 18380045, 16104936, 19443354, 14733996, 15062169, 25810505, 33057024, 17034501, 29702097, 31278197, 19062391, 18508841, 31335254, 32370911]",A,GB0011617,True
58058,,Alex,Henderson,"[31495749, 20700600, 17244425, 30057029, 30712880, 23242139, 23099638, 22318917, 29595198, 17554407, 30859559, 35170830, 27921102, 32905675, 29504623, 19184535, 30312457, 29509747, 27462043, 26235985, 29909963, 19343685, 24852167, 28346442, 31537406, 29802810, 34570844, 19123651, 35852144, 29446198, 33493488, 14570472, 19551933, 26746166, 30006632, 25846194, 29861108, 28327570, 32532514, 27095185, 29301143, 24782230, 26751395, 31948486, 24510694, 28017370, 21416529, 22072393, 28448241, 31479583, 22126750, 30531895, 30664714, 24484606, 26411506, 24894586, 29565421, 24488587, 31781016, 27128606, 19838426, 21822267, 29058716, 32102695, 29460995, 31041842, 27917428]",A,GB0011617,True
58235,,A B,Henderson,"[8655299, 1632858, 9154832, 5026824, 22262809, 3126890, 14678396, 8419755, 4996481, 25985331, 2509973, 7852490, 7590635, 25711626, 3517314, 8745784, 1588887, 16400909, 9159784, 788145, 15474264, 18915371, 2159115, 27132864, 17598225, 14616441, 12230619, 14524484, 2401986, 17805322, 193100, 10827593, 8305386, 10108612, 19451093, 15074730, 34169610, 3302246, 9464583, 8056130, 15069422, 8864655, 16542200, 17168208, 15050021, 7242422, 4184227, 6527348, 33106863, 21900695, 36122798, 8305387, 25738183, 12566552, 15008745, 19475133, 8827124, 3292975, 15142184, 27313236, 14043374, 2563085, 30022747, 16607385, 30748058, 6319689, 14678358, 16108986, 8088114, 27241186, 34797153, 31062460, 1800965, 32996662, 16372494]",A,GB0011617,True
58245,,Ann,Henderson,[29701865],A,GB0011617,True
148,GB0011694,Robert,Hughes,[10309463],,GB0011694,True
