person_uuid,identifier_value,firstname,lastname,publication_list,first_letter,resolved_for,marked
15,GB0010306,Jane,Scoble,[],,GB0010306,True
23049,,Jennifer A,Scoble,"[29076117, 24147237]",J,GB0010306,True
23053,,John E.,Scoble,"[16861243, 17133900, 15383845, 15754269, 15894807, 18816383, 20704785, 12003724, 16490616, 19907042, 12937212]",J,GB0010306,True
16,GB0010308,Manal,Kumar,[29351075],,GB0010308,True
23064,,Mani Surya,Kumar,[27852990],M,GB0010308,True
24246,,Manish,Kumar,"[34408347, 34671462, 33431462, 34454140, 29182512, 36098143, 35411308, 35609752, 31485014, 36014565, 34017100, 32544663, 31824841, 17899419, 33598936, 26525535, 33933493, 32426457, 32819860, 32530639, 36270976, 30215654, 35983116, 26513648, 35951476, 33887582, 30021110, 27400760, 26386197, 35759428, 21968712, 33249259, 30923041, 31709711, 36039803, 36306034, 30869721, 34048576, 33794177, 29174842, 30322973, 23379507, 34850158, 35932733, 35361021, 35787055, 33203578, 23013463, 34778193, 29079445, 33667832, 32757340, 23292691, 29749704, 31980744, 18350570, 30215655, 34181924, 35853573, 24058454, 27237333, 31564080, 35891851, 33175160, 29801336, 28558034, 34426020, 23255686, 35674810, 35809220, 19589147, 22343354, 34010660, 28935260, 31655151, 27265527, 33859315, 35104528, 33565386, 32090865, 27181265, 35506522, 28003436, 30142020, 33910419, 24870542, 22123699, 30840080, 26319542, 23180965, 33930372, 22363733, 35833048, 27643616, 33848597, 22284566, 32246046, 22712528, 34280720, 36122843, 23376486, 30946770, 23217140, 33736890, 34624271, 25683052, 31844288, 25392792, 21169643, 35491429, 29101800, 33591294, 34619530, 35606026, 18600189, 34002354, 33517026, 31653701]",M,GB0010308,True
24247,,Milind,Kumar,"[18417901, 19542670, 19841556, 18923206, 18722290]",M,GB0010308,True
24314,,Manal,Kumar,"[32316759, 19091454, 22041147, 24963928, 31586963, 33632752, 16643507, 26424824, 34659941]",M,GB0010308,True
24446,,Mritunjay,Kumar,"[24459621, 32773854, 24574609, 21976820]",M,GB0010308,True
24509,,M Shesheer,Kumar,"[17696877, 15233297, 32111896, 15863329, 20588724, 34615791, 17449033, 16119144, 12193883, 14964413, 33515512, 32952144, 20436968, 15952936, 31518798, 25224661, 19071118, 35843496, 17085382, 27965506, 27770303, 17448466, 19056198, 33901911, 35609666, 34890407, 17150281, 34576383, 11084167, 20366312, 36295397, 15817465, 30577198, 14711370]",M,GB0010308,True
