identifier_value,name,total_score,Clinical_trials_score,Digital_activator_score,Publications_score,Sponsorship_score,Societies_score
FR0003269,Juliette Mazereeuw Hautier,41.95546363,30.57755554,8.955223881,26.03670972,4.190657937,60
FR0002274,Joris Galland,41.7717747,6.622927713,92.35074627,10.21835872,0,20
FR0002732,Yannick Allanore,41.64351557,45.08356266,34.70149254,45.57858551,3.431711249,0
FR0001801,Pierre Marie Roy,41.53519787,66.76622592,58.76865672,2.140195072,0.785268538,0
FR0000943,Olivier Fain,41.4518234,43.0314115,8.955223881,73.88855943,2.327290275,0
FR0000388,Khalil El Karoui,41.43886522,11.8246191,93.47014925,22.86763961,0,0
FR0004418,Adeline Ruyssen Witrand,41.23278785,42.63373381,56.52985075,15.02813255,0,13.33333333
FR0001908,Luc Thomas,41.14909967,21.12893483,73.32089552,19.48305538,0,13.33333333
FR0003184,Philippe Dieude,41.13343667,21.91254447,93.65671642,0,11.64851556,0
FR0000654,Karine Briot,40.71849417,20.49130814,85.44776119,19.0390095,0.956360565,0
FR0004121,Bruno Moulin,40.68220552,27.90120142,54.29104478,33.43024237,10.19971704,0
FR0001829,Raphaele Seror,40.65561661,36.80783945,41.79104478,33.80775369,0,13.33333333
FR0002354,Thomas Robert,40.51108445,9.693603598,96.26865672,19.33070088,0,0
FR0000763,Valerie Devauchelle Pensec,40.40101579,21.90583261,51.11940299,29.72021735,8.873753825,13.33333333
FR0004105,Philippe Morlat,39.96565431,26.64608363,96.82835821,0,0.131609252,0
FR0000864,Olivier Lortholary,39.88440069,27.49681187,24.25373134,71.60420614,0,0
FR0003763,Nathalie Costedoat Chalumeau,39.85063059,18.59856366,77.98507463,0,0,26.66666667
FR0000473,Herve Bachelez,39.62755671,13.71736358,72.76119403,30.63868358,5.443139319,0
FR0001839,Barbara Seitz Polski,39.60106095,24.7415934,90.67164179,7.065199049,0,0
FR0004313,Gregory Pugnet,39.58029333,38.86166857,61.19402985,22.35850558,0,0
FR0001469,Ziad Massy,39.29643192,10.40506074,55.41044776,55.72076698,0,0
FR0000740,Christian Combe,39.29250119,22.31022216,98.13432836,0.220817604,0.85875037,0
FR0004920,Matthieu Mahevas,39.109548,10.40002685,85.82089552,24.73735723,0,0
