PARENT_TAG,TAGS_LEVEL_1,TAGS_LEVEL_2,TAGS_LEVEL_3,TAGS_LEVEL_4,TAGS_LEVEL_5,TAGS_LEVEL_6,SYNONYMS,REGEXES,SCORES,CRM_COLUMN,URL,WEIGHT,VISIBLE
,,,,Lupkynis,,,,Lupkynis,,,,1,1
,,Biotherapy,,,,,,,,,,1,1
,,,Biotherapy,,,,Biotherapies,Biotherapy / Biotherapies,SLE Score,,,1,1
,,,Biologics,,,,Biologic / biological medicine,Biologics / Biologic / biological medicine,,,,1,1
,,,Antibody,,,,Monoclonal antibody / human monoclonal antibody,Antibody / Monoclonal antibody / human monoclonal antibody,,,,1,1
,,Administration,,,,,,,,,,1,1
,,,Subcutaneous,,,,,Subcutaneous,,,,1,1
,,,IV,,,,Intravenous,\bIV\b / Intravenous,,,,1,1
,Symptoms,,,,,,,,,,,1,1
,,PROs,,,,,patient-reported outcomes / patient-reported outcome / patient reported outcome,patient-reported outcomes / patient-reported outcome / patient reported outcome,,,,1,1
,,Joint pain,,,,,,,,,,1,1
,,,Joint pain,,,,,Joint pain,,,,1,1
,,,Swelling joints,,,,,Swelling joints,,,,1,1
,,Flare-up,,,,,,,,,,1,1
,,Skin lesions,,,,,,,,,,1,1
,,,Skin lesions,,,,,Skin lesions,,,,1,1
,,,Discoid lesions,,,,,Discoid lesions,,,,1,1
,,Skin rash,,,,,,,,,,1,1
,,Butterfly-wing,,,,,Butterfly-wing erthema / Malar rash / Butterfy rash / Malar flush,Butterfly-wing erthema / Malar rash / Butterfy rash / Malar flush,,,,1,1
,,Mask,,,,,,,,,,1,1
,,Red plaques,,,,,,,,,,1,1
,,Alopecia,,,,,,,,,,1,1
,,Photosensitivity,,,,,,,,,,1,1
,,Arthritis,,,,,,,,,,1,1
,,Anti-DNA,,,,,Anti-dsDNA / anti-double stranded DNA antibody test / Anti-dsDNA antibodies / anti-dsDNA positive,\bAnti-dsDNA\b / \banti-double stranded DNA antibody test\b / \bAnti-dsDNA antibodies\b / \banti-dsDNA positive\b,,,,1,1
,,Anti-smith,,,,,Anti-SM,Anti-SM,,,,1,1
,,C3-C4,,,,,Complement level,Complement level,,,,1,1
,,Fatigue,,,,,,,,,,1,1
,,,Fatigue,,,,,Fatigue,,,,1,1
,,,FACIT,,,,Functional Assessment of Chronic Illness Therapy / FACIT-F / Functional Assessment of Chronic Illness Therapy-Fatigue / FACIT-Fatigue,\bFACIT\b / Functional Assessment of Chronic Illness Therapy / \bFACIT-F\b / Functional Assessment of Chronic Illness Therapy-Fatigue / \bFACIT-Fatigue\b,,,,1,1
,,Weakness,,,,,,,,,,1,1
,,Weight gain,,,,,,,,,,1,1
,Studies,,,,,,,,,,,1,1
,,Saphnelo studies,,,,,,,,,,1,1
,,,TULIP,,,,Treatment of Uncontrolled Lupus via the Interferon Pathway,\bTULIP\b / Treatment of Uncontrolled Lupus via the Interferon Pathway,,,,1,1
,,,,TULIP-1,,,,\bTULIP-1\b,,,,1,1
,,,,TULIP-2,,,,\bTULIP-2\b,,,,1,1
,,,,MUSE,,,,\bMUSE\b,,,,1,1
,,Competitor studies,,,,,,,,,,1,1
,,,Benlysta studies,,,,,Benlysta studies,,,,1,1
,,,,BLISS-52,,,,\bBLISS-52\b,,,,1,1
,,,,BLISS-76,,,,\bBLISS-76\b,,,,1,1
,,,,BLISS-SC,,,,\bBLISS-SC\b,,,,1,1
,,,,BLISS-NEA,,,,\bBLISS-NEA\b,,,,1,1
,,,,BLISS-LN,,,,\bBLISS-LN\b,,,,1,1
